Production_Unit_Id,%_detected_defects_by_QA
P189,9.30626057529611
P191,24.44069227522161
P195,35.89659685863874
P196,21.611087050671287
P198,18.373493975903614
P200,15.80135440180587
P201,23.879907621247114
P203,16.4535666218035
P207,12.195121951219512
P212,37.68038482095136
P216,37.45198463508322
P217,24.563953488372093
P218,26.002358490566035
P220,45.689655172413794
P223,15.362731152204837
P224,28.613472858077177
P229,23.91017173051519
P233,25.17428350116189
P234,23.3458177278402
P236,28.373450036469734
P237,26.74865488086088
P238,28.92358258011504
P239,28.875545851528383
P240,29.124365482233504
P242,44.81842338352524
P245,34.14820473644003
P246,39.27272727272727
P247,38.27027027027027
P248,35.14036786060019
P250,34.33645781943759
P252,25.798673899939722
P255,17.840851495185
P256,22.837924407431135
P258,15.69620253164557
P259,18.789144050104383
P264,24.531095755182626
P267,26.307320997586487
P268,23.31536388140162
P269,27.69311613242249
P270,23.02018633540373
P271,30.05050505050505
P272,42.75657650981845
P273,30.887045309508615
P274,26.384180790960453
P279,28.732394366197184
P280,33.10727496917386
P281,5.967450271247739
P283,24.78386167146974
P285,9.887640449438202
P286,33.43621399176955
P287,43.1501230516817
P288,18.70689655172414
P289,33.3994053518335
P292,21.933863541230643
P293,29.71627675460428
P295,23.351158645276293
P296,35.04531722054381
P298,35.327405012126114
P299,27.483124397299903
P300,28.035470668485672
P302,27.49391727493917
P304,28.836206896551726
P306,21.73779551734725
P311,30.76437144662034
P312,29.0528233151184
P313,40.86918349429324
P316,28.41996379622446
P318,50.16949152542372
P320,34.751773049645394
P321,32.05025394279604
P322,22.75449101796407
P324,33.798140770252324
P326,22.094691535150645
P327,35.99009900990099
P328,21.46562905317769
P332,27.39156268568033
P336,21.945801865837407
P338,23.099344182657276
P340,23.408845738942826
P341,19.342672413793103
P344,12.041210560206054
P345,28.14167879670063
P348,14.70941883767535
P349,35.28072837632777
P351,26.745662293694455
P352,14.606741573033707
P354,9.333333333333334
P357,32.88821060663869
P358,44.21875
P370,25.48217416715371
